cooler_id,failure_probability
9b5d32a9d8047dd785a4c4cec32a548976ba51ae369df356d6e432c5ea5e2791,0.9996
ae3576630cebc01c1d4132a63228623ba8d6a4d66ffe7c69d34706420bbc83e0,0.9996
e6d7afe0ba9cb0b12859414261f96e0b65080805af5525c03a0e5031ca8189df,0.9991
9b5d32a9d8047dd785a4c4cec32a548976ba51ae369df356d6e432c5ea5e2791,0.9990
60d49c14460f31ed7e6925b7fb7469675d5db4f44ebea04106bb0454097c6e74,0.9987
e56d7ffa46dc9b6558fc8cbf6ac3e16a24575a2d7ba833d074408b36a76d68bc,0.9986
09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,0.9984
9b5d32a9d8047dd785a4c4cec32a548976ba51ae369df356d6e432c5ea5e2791,0.9983
f0be179dd2d5fdb181467456fc602af87228e7bfa640022d23771af43d8269b3,0.9981
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,0.9977
137cdce9ec6657809bfd08aeceb2e3545a14562b660d53a43f2091889bd65a22,0.9974
62bd6e4c9c89694af4b340ddc147a71326d965052592b16b6fe6a66f3af10514,0.9974
98b412465c6b6b8f1971fb107bd205b0693eff901a63be1d9ebb7b6572fbe195,0.9974
54844e912dd07bcbee1269134e6cbef600bb5ac46993b52c34c57c015d7335d4,0.9973
137cdce9ec6657809bfd08aeceb2e3545a14562b660d53a43f2091889bd65a22,0.9970
09e1f4de2bbe2ba0773df2e7ab64757ad18a358d20000df4287ff6c12fcecb0c,0.9970
cd7d3627b55d0eff9b0ca1d7fca054437d4f955b42796111a098d2bf3a3feb56,0.9969
ff6fe52a90c8fb9a406dc208eef684a1b77d27e7a0bcde2b9d9edd1a8b095333,0.9968
ff6fe52a90c8fb9a406dc208eef684a1b77d27e7a0bcde2b9d9edd1a8b095333,0.9967
137cdce9ec6657809bfd08aeceb2e3545a14562b660d53a43f2091889bd65a22,0.9967
000ad42d24871bed8a139f101c46dd14f499dadc8f26a5c711539b1a7c10d80f,0.9967
e56d7ffa46dc9b6558fc8cbf6ac3e16a24575a2d7ba833d074408b36a76d68bc,0.9967
adb348e6e3b97ce1d07627f7dde4ae5d68fa3f92207a96e781859f37c9656711,0.9966
56d3d1611a9f20f2b08e08afa655e65d68a4d4ea23a627715a9163bb8f6afbee,0.9958
119bb3fd3fbd6de8c3eb1bb1c519a23de13946799afbc320229ae1cc460b03fd,0.9957
c9401fcd65607199dffcfd9584a533d89c677c20f4770748698c163639351f86,0.9954
8490e3d2e2bf90a2eaef9d0d17d06b5a55d40822c8a9c37600359b934710fe92,0.9953
cd891ff8df9f1617bebdab08bcb43d1213515925133596e228fe999961646d1b,0.9952
452761b13d1a97635372b33e09ea2a8008a486fe79a36027a22368c6fdb9a764,0.9949
56d3d1611a9f20f2b08e08afa655e65d68a4d4ea23a627715a9163bb8f6afbee,0.9949
12ef32f2133e68b37554f01de6a72e38c1fa1985585a71403039c2b365cde62c,0.9944
e64e4de8d1a972e8c89ac97316bcca8e0691f13581fb242d9c12d5a93bb7d29e,0.9943
e64e4de8d1a972e8c89ac97316bcca8e0691f13581fb242d9c12d5a93bb7d29e,0.9942
7789f3a5402d71a65efc0b735e6312068c770833da4cbaebd12c8c8e1f9d0974,0.9940
72980eb969bf38742a27b57becd625f4a3f03ae6392fbf9d98933955f64d0769,0.9938
cd7d3627b55d0eff9b0ca1d7fca054437d4f955b42796111a098d2bf3a3feb56,0.9935
21e53c6079d389b31d0063e14ff37009a6877658b58af362dc4ba202277ddbef,0.9932
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,0.9931
e54fc69fb4d2f6d39eb37e4bc3d66107c865b1689af5cfc57ce20a2578a3807f,0.9923
483fe5b436f370171a15a80520839049bd7c4b8416c28ef6e08c6eb1af0a6ca3,0.9915
872cdd275f9f091ec2178959775ee929d25020e920d1ba43b8d7c0e8990654c3,0.9915
872cdd275f9f091ec2178959775ee929d25020e920d1ba43b8d7c0e8990654c3,0.9904
69a502ea2c89a5f61d16ce534026afa43727a85dc6433b74d71e2897f5ce2294,0.9819
75e325ac11632c676a299c5d28f3dca83bd628deb8b62ff461bdada492738d33,0.9785
0fb620ffe915a5255914b611cfae5a075274893fab35bd25791b6ad99de7b624,0.9777
54844e912dd07bcbee1269134e6cbef600bb5ac46993b52c34c57c015d7335d4,0.9765
72980eb969bf38742a27b57becd625f4a3f03ae6392fbf9d98933955f64d0769,0.9653
51acd7bdf1c17f571df58541440547e2bf6e30e322cd1c9dee9bbb7872c6474d,0.7752
92fa38fb95dab770e910ffe3e3899e835db1a66319194fc93c894961c829cd87,0.7481
92fa38fb95dab770e910ffe3e3899e835db1a66319194fc93c894961c829cd87,0.6962
12ef32f2133e68b37554f01de6a72e38c1fa1985585a71403039c2b365cde62c,0.6207
372a56134776c0ac85b672814fc242616c9970241233dd9ff9aad58099e07342,0.4034
4b76d01bab047c7b4e89a742284a98c6835e1409757ae954c758a7c3dd4d25c2,0.3384
69a502ea2c89a5f61d16ce534026afa43727a85dc6433b74d71e2897f5ce2294,0.3310
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,0.2638
8185ce2b48ece3e2b5493d61a08a77aa1bd883815a2b6282e45b2e41c04d2022,0.1648
d6b5aa3a35722898ff8c1b12c223ba21bec21fb34ac3223b74d696aaae7d614c,0.1424
8d3260b5f7e49fff02b4743037a52406b19279d9cd0144785f653afe0f4622b8,0.1407
22f67ce4642b3b238b4d5707d261fd9dd9d6146ca54eef8de6fd8ddbe7cf6be2,0.1345
b45ec690a9a2fbcf1f113ec848a1a8f830f4e1540c4290eaf3f754b98c1be3fb,0.1332
af231948a8419853634ac7c100400bcf4b02f39c4c5280af7dcb0966f0d61e3a,0.1099
b15f12462c239ab006d8a3a2b55d36e231ef66de36b9e45c3ad86906f4d42e02,0.1076
8707a7d022fd1d98aebf282f02c78b62b6683d960c7f7e6978fdf1d13f8f996f,0.0960
3706c681506e61b1f274a0e8a23f19982a4df7cd393d4001b02d629f0edca89d,0.0909
5005dc421283c3024eeedd99caa4ec7e8a067cc2986792d54285aa0b4f1eebf4,0.0888
200124a7b49ce25aca007d9ef3d651caf2871e5895bd87902c6d02d0371d2958,0.0793
b0b357d01f4982b12a2e2245de91a0d00e403d9fea3d6ec955ac51c7e57d4ded,0.0779
7a216e62634f7b038581fc6f90e01df29349817f937c856de4802576a62bf12a,0.0773
9660ecfab835b30925d7db1608d36d04ff7bd9be9a87c921e68cb51d41f558d3,0.0666
0624c68f44b2dfa11f91e5f6c1617a11d9d8b1952eec329f7dcfd49e97ba9c48,0.0659
e3cc661bcd85e8025b10c34631a2e61e6a24484b21f9a31574acfed41a6babab,0.0639
91c8358a138162e8ce964a1b2d84754f3e8a50fcc40d439386dac97cf46a4de9,0.0613
51be18ff163b4ad7ef01c9f4da8805d9d2ffb9d654e8d37e848f1f6e91fb6026,0.0592
a4e40a2be29ad067413e3a106e90e615c127091027cc0c5d771a2463f6e83f0e,0.0564
c4908a824d4f1e41ee0e7c3877ab59c0909359fc1a95251cff66b22e60a31b1c,0.0563
28613718da78f4524a227dcde9542157d15878f875e923045b027ac7cb1810ce,0.0552
d5f9bd36f213af67f84857b357c5f60c14e1499c8d8865d20baf6ed95e0bf61d,0.0504
5f111c01534178996aa02c6099a8f32a486cdb6af113e451e702c356e8419995,0.0474
cc251124723397be4ec8bfcc41f1406c32e5d4be65d91506f86c2c24af3e2e3d,0.0474
daa117a50a5a86632f37d091ffa99eb60ae5f7da92448e34e3b7539182a13a87,0.0453
936b74708516edece4f1711d44b424457d3964349cc80fb054440b2726926798,0.0439
507943f82c8576e62cfccacfdf87240f1df0552ac14b80c78d3307cfecfccbe4,0.0415
0bc42f6204aa33018b0a8577ed8b824f161a7194be1decf984bf14030619a0f9,0.0403
08f9b3173411237aedb0530d1b964213f01d23d4b8cb6f3b56a04f6b16e81dc6,0.0379
954dd6890ab5084a1f83fbb08155effbb421b55c4accf1deab62e16d5aca58e8,0.0374
3bb4ccde792e77976aeb28be9742b9de2b1536a385a98af26c0982d212cbfde6,0.0363
0bebc677cae2aa13e2ef72b030d37f6c92954cc34aa8fe8b4f5f4b7405b4595c,0.0355
ff7ef63a6d5b69ea8d5c571b4e4cdd9382a2738df944a7c888cd2e44ca1d4ed9,0.0350
a685b755ec831932a94cdf2c4cf1b72e6787bcd1f898bc1fb7d4037052ba9f39,0.0336
5365f6ba8cd1207964c5eb25cf678dbc213126b2428881df6a088904f49033d1,0.0328
f8a50e59b7b05b83a453c53fe1be7471eb6e53100e6751f3992b54c200b9d82a,0.0317
9da86b8b0526815e6921841a73a0d9aab7e911e1cb8310b93c84db6e816cbe0d,0.0307
fdb307da636e8595786dfc75959c8b00dddcf6e14b8600d125c73a0c13d44380,0.0303
5d2c3542ae87183d6b890960c8b800320553bf6ecf5ad3ee04a8a28b265845a8,0.0302
69fbc0160c454e38c154b2e0d78367d50866395aafeae974bb4bbeb42c7e20fc,0.0292
dd1ea2b672af5d74412c38fce98b83d183c5b6490d4c75cef2bafc7dfb31066e,0.0292
fa59af4d53e4830c5a733d7b240a6b114b5b790e0275323f2537d2a80556614d,0.0291
95ed6f009474c69925b8485c2dc3385f52d30d598fe2788aecfdd745d99e25f5,0.0284
7f9c52ba31da2961e8046640533e860dd0327390ca209b8c1a69464d9fa1bab0,0.0275
d90163c331d7251d551ab5bd9a5fffe04669acd7c3f7c521801f88e357d6a78f,0.0273
0fb620ffe915a5255914b611cfae5a075274893fab35bd25791b6ad99de7b624,0.0273
86b84420efa764d4c1ef79edf2ef517b0a0edbade9814a28fc3f391359add4aa,0.0268
069aad3af970020c7c49f9ea9c9362084c1e8e8e41080d32ea09a232f9960614,0.0265
13689b5fc663e3527170d93f975f23080fb0b1bb34a190414e28501bfa775975,0.0259
75e325ac11632c676a299c5d28f3dca83bd628deb8b62ff461bdada492738d33,0.0253
562c9dd703294aa61979ecaeac92014c1bd1e31502cc4dfc8106063335e9e1c1,0.0248
a52550a7aaad60397f5864890b41a9ead385a72ec27c8dc1d842d3f72c34a09a,0.0247
a40c2faed69afb13d941b24833bab8e87ec89975d2535d0ae8e89959da2d9fc9,0.0239
389831ff5ae5f846817660003d547d22aa67b1ab9776783485b5368d80b5e492,0.0237
84d82a8b1bf0361780002af49f1a6285ec9858e7361f7bbf1e430924f8f5e7f5,0.0234
d68fa319d5bd94727cc55a2c0165dd24b846b727192d17d2676572ea48cb3689,0.0231
4d73d9351b96af1dd40398b7a854ed5a92d2330576f3b57240b10171f0230844,0.0222
37265223f7302f68a77ac460e4a7e347fb27d290eac1122610e76f02b4a6cce0,0.0219
3eb3b1d62c3f81407a9d2f3a7b3c8278dbf3c5752db3c7491f91bebef4c8f310,0.0219
b760e6d11634631dc23568a2b2518a3274382bceef772e1b91a00665249fce55,0.0202
1df8eb39366cb3232d408a2c30b9a6727745b84f31c7e8f3b9e7b54484ec5141,0.0200
cd30070eb0d60c948702015f9db8426b9d2a9600419126eccfbb305dcdfff1fe,0.0199
bca8c538111fad5f7bcbdc768b1d4b70f880c77d009083c1fd1154389666e4f4,0.0195
874356518029cda2c6af09c356565a1b28de6a6502e3d055e564bcf07b021e34,0.0194
bc1f21e348a094294b1a899f0ae29a6f4c70f2266aaf82267ed2ca19e3b0b7e4,0.0191
c72e6b6df1d919bc5b0526deb50559745952bd522d1ebd45681b11a75760ebbe,0.0189
e8d0a7e0c4eb1ecc46ed186e2fcae90d5b46960bdc8f1b8f3c70034652b3f421,0.0189
eb967335977837430fc1dabdea0244e74b6b8b4809f7f1cc3c54cff42de3f5cc,0.0188
431433405cfaae4418a025d873382201e9bedae0c4bde7eaa3285ca52b681479,0.0185
324ceed9aafe016ce74ac48ec48188ba8fc4bcebc4c74bdb97d51f22744713bd,0.0180
ca0af16a642d7eb1052ccf4b57a9fac69a6b6fd92da27891c6d91602d4d78f66,0.0178
2f2920c9c7669fdbb05e4c89103af98c4f8ced90b093b16350bc9e29d0056c95,0.0176
1c813e84f36fb585faf4dc11137bb7039492c66d82e3dd458ede4af491ebff1c,0.0173
4a54eeaeb01727eb8914760c7b7775f3b727e17383573b15f33aa5779112e1e4,0.0172
2435593f18c9c9f0feecd6f07eefd3f0cb875f32fe9d4376efc406881c24731f,0.0170
9a1ed8b60a11db001cab203b52e8a34aa3311e61e8c4633ad0cee142560adb71,0.0168
2481ed7123a13ece21c60f7b1ba007e836ef2c6fa7147bc9ed5dc2ae6452e7e8,0.0166
181b183a602e7caea3b891b218ee926c331c5591cb9059744c1363da3d38da4f,0.0166
d585b27366e9ef0fee577cc4137ffcfa18c35f5d98e84a28886ad450c103ef4e,0.0166
269033edecd623611c7e8110b1b546f85b56877dd96398b267f1771949634ed2,0.0164
bc52d9c9cd13b6437ce576860021cb52b426c105058d66ba9e20e04d17ab1826,0.0156
45d1c5f7c6bb803f0596a3f68d7819b5b5e6cb6f47f25837069c31de877b281c,0.0154
07eb65e5b3000e1c7cbed01a907e9f21974d518224ce329aabf4ce174bb32c44,0.0152
eb369ad7ca8c8a082e6657af8a4bd89e7d89aa769dd835e863c224e4c35c7fd0,0.0149
43b1b353eb10df381e7c9f4a0d9a57f1ff78dd4fdfade96cb6f278d3e26d6752,0.0148
30584a26e167a204424c5b3eea45b12148eb36b439f49b86c860dbe9fd3cb318,0.0147
014adbb14b5e216bb7e3fd60ff678df8a0165c408c954bc8633977bff531f4fc,0.0146
